Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38568429.9595,-0.1329026,0.1491307,2.96721,-0.1321595,0.2118894,3.022931,-0.1479612,0.5738279,3.027488,-0.1532779,0.7616776,3.005672,-0.3014166,0.4659249,3.034735,-0.4216225,0.2145334,3.030996,-0.4964127,-0.005713925,3.026335,-0.5134155,-0.07148121,3.026749,-0.009119354,0.4633594,3.014313,0.08348576,0.1907133,3.042501,0.1224289,-0.04333862,3.025098,0.1480655,-0.1315957,3.024593,-0.1960159,0.08205985,2.954191,-0.1930254,-0.3679981,3.011924,-0.1940136,-0.6974725,3.034586,-0.1885228,-0.7588412,3.007452,-0.0651461,0.08674869,2.958208,-0.05858776,-0.3641172,3.035678,-0.05674763,-0.6730614,3.049366,-0.06071918,-0.7066491,2.977746,888,Draw-the-letter-C,
38568462.9614,-0.1295648,0.1474829,2.968974,-0.1299057,0.2109054,3.024235,-0.1479588,0.5738277,3.027476,-0.1527779,0.7620007,3.006737,-0.3009343,0.4643814,3.032902,-0.4016111,0.1889569,3.027689,-0.4689402,-0.01740126,3.024504,-0.4733351,-0.09919475,3.013766,-0.009429401,0.4633012,3.013567,0.06851369,0.2019284,3.042564,0.09809633,-0.02540333,3.025431,0.104528,-0.1158542,3.010463,-0.1911743,0.07981341,2.955873,-0.1928903,-0.3680533,3.011983,-0.1935877,-0.6968546,3.03392,-0.190761,-0.7563457,3.002523,-0.06138119,0.0857276,2.961171,-0.05933867,-0.3690686,3.037211,-0.05641574,-0.6731357,3.049288,-0.0602004,-0.7067662,2.977673,888,Draw-the-letter-C,
38568493.9631,-0.1283465,0.1455381,2.969989,-0.1294432,0.2097023,3.025192,-0.1481275,0.5745329,3.027972,-0.1524643,0.7622696,3.007565,-0.297904,0.4617751,3.028968,-0.394702,0.1849845,3.024159,-0.42693,-0.02991055,3.012906,-0.4361434,-0.117713,3.038453,-0.01083805,0.4630975,3.013014,0.06192702,0.2108364,3.050396,0.08963805,-0.02141257,3.023119,0.09656136,-0.1120989,3.009896,-0.1895473,0.07845841,2.956125,-0.1928158,-0.3678924,3.011979,-0.1939161,-0.6977525,3.03388,-0.1902373,-0.7568706,3.001865,-0.06067871,0.08495134,2.96303,-0.05889244,-0.3680776,3.036975,-0.05361508,-0.6697098,3.049848,-0.05816559,-0.7327195,3.026557,888,Draw-the-letter-C,
38568529.9652,-0.1281122,0.1455998,2.970312,-0.1294346,0.2097325,3.025529,-0.1478928,0.5746008,3.02797,-0.1522218,0.7623544,3.00779,-0.2973183,0.461464,3.027106,-0.3788771,0.1797262,3.021353,-0.4241953,-0.03270714,3.014678,-0.4274493,-0.1213406,3.038767,-0.01069426,0.4633199,3.013034,0.06128537,0.2177379,3.055806,0.08689796,-0.01011364,3.025148,0.09113327,-0.1008835,3.011377,-0.189345,0.07844064,2.956216,-0.1926797,-0.368183,3.012202,-0.1939448,-0.6971909,3.034097,-0.1931509,-0.757408,3.003979,-0.06048938,0.085178,2.963925,-0.05966103,-0.3688956,3.037184,-0.05629894,-0.6730015,3.049049,-0.05846192,-0.736641,3.02716,888,Draw-the-letter-C,
38568561.967,-0.1282932,0.1449139,2.970562,-0.1298665,0.2092424,3.025742,-0.1478634,0.5746931,3.0279,-0.1524632,0.7631186,3.009274,-0.2972063,0.4612905,3.025234,-0.3633169,0.1750507,3.011106,-0.3862933,-0.05179331,3.027157,-0.3962991,-0.1414819,3.044549,-0.01037611,0.4632711,3.013308,0.054561,0.2228817,3.049677,0.0832514,-0.008045757,3.023432,0.08692872,-0.09895729,3.010461,-0.1896988,0.07745925,2.956705,-0.1930032,-0.3715513,3.012686,-0.1942697,-0.696185,3.035605,-0.1935237,-0.7560382,3.004763,-0.0607163,0.08442649,2.964106,-0.06237014,-0.3674864,3.036348,-0.05628633,-0.6730044,3.049021,-0.05792239,-0.7367859,3.027493,888,Draw-the-letter-C,
38568595.969,-0.1318556,0.1402226,2.972231,-0.1328125,0.2059704,3.027156,-0.1480108,0.574757,3.02797,-0.1524688,0.7636308,3.010281,-0.2954466,0.4597524,3.021745,-0.3488034,0.1903891,3.000899,-0.3732073,-0.0253695,3.010062,-0.3686655,-0.1171588,3.010878,-0.01147647,0.4619192,3.012187,0.05514642,0.2189747,3.050072,0.08114525,-0.007540665,3.022046,0.08469027,-0.09866329,3.010615,-0.192664,0.07456177,2.958768,-0.1937433,-0.3727832,3.012708,-0.1959677,-0.6984916,3.035901,-0.1942663,-0.7576017,3.003688,-0.06574108,0.0799874,2.965803,-0.064271,-0.3655664,3.035089,-0.05592086,-0.6725924,3.049297,-0.05806551,-0.7362974,3.027579,888,Draw-the-letter-C,
38568629.9709,-0.13069,0.141503,2.972301,-0.1332573,0.2066365,3.027329,-0.1476609,0.5748461,3.028143,-0.1521789,0.7648841,3.011762,-0.2959763,0.4597917,3.020226,-0.3458816,0.1829696,2.99866,-0.3726686,-0.03146762,3.008374,-0.3641999,-0.1228335,3.003178,-0.00610845,0.4700879,3.019735,0.05767053,0.2077387,3.049389,0.08164088,-0.008711006,3.02188,0.08390606,-0.09977904,3.009717,-0.1920858,0.0748493,2.95886,-0.1934472,-0.3730657,3.013348,-0.1965196,-0.6999364,3.035228,-0.1948593,-0.7570114,2.999526,-0.06426277,0.08087617,2.965432,-0.06286852,-0.3682433,3.036859,-0.05613098,-0.6725903,3.049208,-0.05567525,-0.7062066,2.977469,888,Draw-the-letter-C,
38568661.9728,-0.1302487,0.1415384,2.972178,-0.1328965,0.206611,3.027298,-0.1477204,0.5750017,3.028309,-0.1518915,0.7650481,3.012611,-0.2964117,0.4596605,3.019763,-0.3440838,0.1818878,2.998726,-0.3654283,-0.03427918,2.992467,-0.3637334,-0.1020312,2.99705,-0.006657206,0.4687302,3.018651,0.05318864,0.2158387,3.045457,0.08123771,-0.009297424,3.021392,0.08330393,-0.1004022,3.009486,-0.191664,0.07471425,2.958629,-0.1934277,-0.3730493,3.013386,-0.1964746,-0.7002189,3.034867,-0.1949529,-0.7574133,2.999358,-0.06336342,0.08091275,2.96522,-0.06346978,-0.3722457,3.037457,-0.05434974,-0.6754182,3.048939,-0.05400182,-0.7090291,2.977202,888,Draw-the-letter-C,
38568693.9746,-0.1291739,0.1427327,2.97229,-0.1327971,0.2073046,3.027315,-0.1482309,0.5750429,3.027795,-0.151977,0.7649521,3.012656,-0.2971935,0.459042,3.017746,-0.3421974,0.1806926,2.997976,-0.3651319,-0.03538033,2.989362,-0.3643453,-0.1029852,2.995917,-0.00541652,0.469629,3.019816,0.05356282,0.2154873,3.045711,0.08068794,-0.006887139,3.021759,0.08175298,-0.09816982,3.011174,-0.1909968,0.07492496,2.958394,-0.1938316,-0.3736123,3.013482,-0.1964778,-0.7003322,3.034825,-0.1953677,-0.7576201,2.99946,-0.06113008,0.0821034,2.966017,-0.0631334,-0.3710446,3.037207,-0.05405602,-0.6751837,3.049361,-0.05296838,-0.7087843,2.977632,888,Draw-the-letter-C,
38568729.9766,-0.1283694,0.1428823,2.972568,-0.1327623,0.2073395,3.027565,-0.1483239,0.5749439,3.027866,-0.1509518,0.7655828,3.014604,-0.2972701,0.4584007,3.015383,-0.3411455,0.1787587,2.997143,-0.3656058,-0.03716154,2.987979,-0.3707375,-0.1046634,2.993601,-0.004516466,0.4718325,3.021247,0.05151653,0.2242276,3.041518,0.0808287,-0.006627323,3.021465,0.08025753,-0.0981369,3.012969,-0.1903647,0.07477458,2.958556,-0.1931068,-0.3748947,3.01463,-0.1966843,-0.7009357,3.034157,-0.1957137,-0.7588452,2.99981,-0.05953474,0.08211898,2.966396,-0.06263323,-0.3743684,3.038628,-0.05696512,-0.7027433,3.046613,-0.05504614,-0.7363279,2.974891,888,Draw-the-letter-C,
